gitlab_name,gitlab_id,tim_name,tim_guid
atomalignopeningbywalls,107.0,AtomAlignOpeningByWalls,e825b1c3-7b72-4878-a12a-2084b7d0441b
AtomArchitectureWallsCutting,73.0,AtomArchitectureWallsCutting,7f25cadd-9abb-4d29-afce-9483acd06559
AtomCableTrayFastening,64.0,AtomCableTrayFastening,debf0b29-26fc-5e1e-a7a5-13f116c78664
atomclearlittercategory,88.0,AtomClearLitterCategory,47cab065-0594-4070-9a4f-2c71b41eee2d
atomcreateelectrocircut,84.0,AtomCreateElectroCircut,c091f2ec-eff8-4d1a-a327-71569eab4456
AtomDisallowWallJoins,25.0,AtomDisallowWallJoins,263c007d-3bd0-48c9-999c-3a90a730e999
AtomDoorRebarFraming,37.0,AtomDoorRebarFraming,f7ae59e8-c31d-4894-a0a0-a35c2f5566db
AtomEquipmentToElBoxes,62.0,AtomEquipmentToElBoxes,c39f42bf-4879-446a-bea6-39c96cb44462
atomexportmaterialspecification,91.0,AtomExportMaterialSpecification,9adc7a60-ad65-4d25-bb94-95173baee887
AtomFaceformersPlacing,35.0,AtomFaceformersPlacing,2ada3536-69d5-4b8b-93f7-4436df9bec7c
AtomFamilyDispatcher,24.0,AtomFamilyDispatcher,c4a5a3b9-81a1-40e3-a92a-b40c4ca192e9
atomfamilymanager,96.0,AtomFamilyManager,628b38fd-132e-48fb-b1a3-ae1c874656a7
AtomFinishingDispatcher,23.0,AtomFinishingDispatcher,5ee1ac53-d530-4258-89ac-3354712e3fde
AtomFinishingModeling,32.0,AtomFinishingModeling,bc9e17e6-3bd1-4a7f-bb33-f8a2e25f15a7
AtomFittingsWeight,118.0,AtomFittingsWeight,b60db5fe-f2a7-4417-9afb-da7cebb9b3cb
AtomHoleDispatcher,50.0,AtomHoleDispatcher,0c0e3edc-cfa3-4425-88d6-28238ff97973
AtomHoleLevel,63.0,AtomHoleLevel,debf0b22-26fc-1e8e-a7a5-53f116c78664
AtomHoleRebarFraming,22.0,AtomHoleRebarFraming,8994f5f4-6c3a-482e-92a5-010e054d2866
AtomInsertElectroDevices,76.0,AtomInsertElectroDevices,a67ebdbb-0a1a-4f48-93cf-d445efb4a4fc
AtomKvartirografia,51.0,AtomKvartirografia,debf0b23-86fc-4e9e-a7a4-55f106c72622
AtomLinksDispatcher,30.0,AtomLinksDispatcher,5f8b0a68-e49c-4648-af0f-c58164b28b7c
AtomMassToSchedule,58.0,AtomMassToSchedule,4b6db868-414c-4c2e-b12d-d099efccba02
AtomPipeInsulationSelection,39.0,AtomPipeInsulationSelection,e2a27145-e5fe-4f98-b82d-948170064e25
AtomPlumbingEquipmentPlacement,61.0,AtomPlumbingEquipmentPlacement,a6d74030-bf62-43a9-b71c-5391a7fdf38f
AtomRebarSketch,65.0,AtomRebarSketch,f9403064-2cb4-4784-a8bd-a6436e229dfb
AtomRoomCenterPoint,34.0,AtomRoomCenterPoint,7c1cfc4f-176f-497c-a972-e0df3143e352
AtomRoomChess,33.0,AtomRoomChess,60196ea2-250c-4b22-8032-24740df83662
AtomRoomHeightEnhancement,28.0,AtomRoomHeightEnhancement,dd38e2aa-8b47-43f8-b763-6fdd0212cd1c
AtomRoomList,26.0,AtomRoomList,60a038d6-5973-4054-bc1f-c0df259e7cc5
AtomRoomNumber,38.0,AtomRoomNumber,bd675d15-20c0-4d4a-b2f4-823d34798e99
AtomRoomParameters,36.0,AtomRoomParameters,091bc2d3-55e1-4284-b47e-6f22bb61e6b9
AtomRoomProjectDeclaration,29.0,AtomRoomProjectDeclaration,fd1beb6a-8a9c-4aa8-a9da-b1b22db6771e
AtomSetInstallMethod,71.0,AtomSetInstallMethod,6ffccd31-6bc2-4ab8-8132-9fa89aabdc6f
AtomSetParamsFromTesla,42.0,AtomSetParamsFromTesla,76c364d1-caa3-4e53-a748-ec45f4b15648
AtomTypeSystem,70.0,AtomTypeSystem,d2431b1e-6ba4-427f-b443-60c82fe8b603
AtomWallReinforcement,27.0,AtomWallReinforcement,13626354-de03-494b-b24c-9958f4a1704c
AtomApartmentSalesAlbum,54.0,,
AtomAutoHolePlacement,60.0,,
atomclutchplacement,108.0,,
AtomCollisionDispatcher,53.0,,
AtomCopyFromLinkFile,48.0,,
AtomCreateMarkerCollizii,55.0,,
AtomCreatePDF,66.0,,
AtomCreateSchedule,31.0,,
AtomElectricalCircuitControl,43.0,,
atomelementslength,104.0,,
atomengineeringgroupsplacing,78.0,,
atomescape,83.0,,
AtomGridsNumbers,59.0,,
atomholejobs,90.0,,
AtomHoleMarks,57.0,,
AtomHolesDispatcher,49.0,,
atominsertelectrodevices,76.0,,
atominstelchanneloverpipe,94.0,,
atomjoinwalls,85.0,,
AtomLabelSystems,119.0,,
AtomMarkaToLegenda,68.0,,
atommarkscopy,86.0,,
AtomParamInOsnova,44.0,,
atomparaminosnova-old,80.0,,
AtomPlacementElectricalBoxes,69.0,,
atomradiatorsplacement,99.0,,
atomreinforcementcageplacement,123.0,,
atomrenamefamily,87.0,,
atomroofdispatcher,97.0,,
atomselectionreferenceitem,89.0,,
AtomSetConcatenationParameters,67.0,,
AtomSetLevel,56.0,,
atomsetlevelwhithatomapi,98.0,,
AtomSetMetricPipeInsulation,52.0,,
atomsleevesplacement,102.0,,
atomtemplatewindow1,100.0,,
atomupdatelinks,103.0,,
EngineeringZones,72.0,,
HoleJobs,45.0,,
Kvartirografia,47.0,,
materialwallstoword,92.0,,
atomlintelsections,125.0,,
